2018-07-18 14:00:57 JST LOG:  データベースシステムは中断されました: 今回は 2018-07-17 08:29:09 JST までは到達しています
2018-07-18 14:00:57 JST FATAL:  データベースシステムは起動しています
2018-07-18 14:00:59 JST FATAL:  データベースシステムは起動しています
2018-07-18 14:01:00 JST FATAL:  データベースシステムは起動しています
2018-07-18 14:01:00 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-07-18 14:01:00 JST LOG:  invalid record length at 0/1500318: wanted 24, got 0
2018-07-18 14:01:00 JST LOG:  REDOは必要ありません
2018-07-18 14:01:00 JST LOG:  MultiXact member wraparound protections are now enabled
2018-07-18 14:01:00 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-07-18 14:01:00 JST LOG:  自動バキュームランチャプロセス
2018-07-18 14:01:50 JST ERROR:  ユーザからの要求により文をキャンセルしています
2018-07-18 14:01:50 JST LOG:  高速シャットダウン要求を受け取りました
2018-07-18 14:01:50 JST LOG:  活動中の全トランザクションをアボートしています
2018-07-18 14:01:50 JST LOG:  自動バキュームランチャを停止しています
2018-07-18 14:01:50 JST LOG:  シャットダウンしています
2018-07-18 14:01:50 JST LOG:  データベースシステムはシャットダウンしました
